tier,company,website,drop_reason
A1,Aprio,aprio.com,
A1,Armanino,armanino.com,
A1,Ascend,ascendtogether.com,
A1,Carr Riggs & Ingram,criadv.com,
A1,Cherry Bekaert,cbh.com,
A1,Citrin Cooperman,citrincooperman.com,
A1,Eide Bailly,eidebailly.com,
A1,PKF O'Connor Davies,pkfod.com,
A1,Wipfli,wipfli.com,
A1,Crete Professionals Alliance (Current),cretepa.com,
A1,Sikich,sikich.com,
A1,UHY,uhy-us.com,
A1,Cohen & Co,cohenco.com,
A1,Doeren Mayhew,doeren.com,
A1,Elliott Davis,elliottdavis.com,
A1,Frazier & Deeter,frazierdeeter.com,
A1,Platform Accounting Group,platformag.com,
A1,Richey May,richeymay.com,
A1,Sax Advisory Group,saxllp.com,
A1,Schellman,schellman.com,
A1,Smith + Howard,smith-howard.com,
A1,Sorren,sorren.com,
A1,Springline Advisory,springlineadvisory.com,
A1,Archer Lewis,archerlewis.com,
A1,Consero Global,conseroglobal.com,
A1,LMC Advisors,lmcas.com,
A1,Lucas Horsfall,lhmc.com,
A1,Nichols Cauley,nicholscauley.com,
A1,Prosperity Partners,prosperitypartners.com,
A1,Achieve,achieve.com,
A1,Cross River Bank,crossriver.com,
A1,Best Egg (Marlette Holdings),bestegg.com,
A1,Carson Group,carsongroup.com,
A1,Kiavi,kiavi.com,
A1,Analysis Group,analysisgroup.com,
A1,Ankura,ankura.com,
A1,Berkeley Research Group,thinkbrg.com,
A1,Charles River Associates,crai.com,
A1,Credera,credera.com,
A1,Exponent,exponent.com,
A1,L.E.K. Consulting,lek.com,
A1,Nordic Consulting,nordicglobal.com,
A1,Resources Connection (RGP),rgp.com,
A1,Tegria,tegria.com,
A1,Accordion,accordion.com,
A1,Argano,argano.com,
A1,Blend360,blend360.com,
A1,CFGI,cfgi.com,
A1,Cornerstone Research,cornerstone.com,
A1,Daugherty Business Solutions,daugherty.com,
A1,Forrester Research,forrester.com,
A1,Fractal Analytics,fractal.ai,
A1,North Highland,northhighland.com,
A1,Point B,pointb.com,
A1,Quantiphi,quantiphi.com,
A1,Simon-Kucher,simon-kucher.com,
A1,The Chartis Group,chartis.com,
A1,The Hackett Group,thehackettgroup.com,
A1,Tredence,tredence.com,
A1,10Pearls,10pearls.com,
A1,AArete,aarete.com,
A1,E78 Partners,e78partners.com,
A1,Embark,embarkwithus.com,
A1,Exiger,exiger.com,
A1,Info-Tech Research Group,infotech.com,
A1,Information Services Group,isg-one.com,
A1,Kaufman Hall,kaufmanhall.com,
A1,Riveron,riveron.com,
A1,SolomonEdwards,solomonedwards.com,
A1,Spaulding Ridge,spauldingridge.com,
A1,Trinity Life Sciences,trinitylifesciences.com,
A1,CSG Government Solutions,csgdelivers.com,
A1,Clarkston Consulting,clarkstonconsulting.com,
A1,Clearsulting,clearsulting.com,
A1,Stax,stax.com,
A1,Bounteous,bounteous.com,
A1,Compucom Systems,compucom.com,
A1,Encora,encora.com,
A1,Ensono,ensono.com,
A1,Flexential,flexential.com,
A1,LevelBlue,levelblue.com,
A1,Lyra Technology Group,lyratechnologygroup.com,
A1,Perficient,perficient.com,
A1,Red River Technology,redriver.com,
A1,TierPoint,tierpoint.com,
A1,Vaco,vaco.com,
A1,West Monroe,westmonroe.com,
A1,Apexon,apexon.com,
A1,Blue Mantis,bluemantis.com,
A1,Coalfire,coalfire.com,
A1,Cyderes,cyderes.com,
A1,Eliassen Group,eliassen.com,
A1,Integris,integrisit.com,
